"A","pass","math_test","math","activity_score","activity","school"
55,1,40.68,-0.932,3,-0.18,1
56,1,63.8,1.38,4,0.191,1
57,1,42.21,-0.779,4,0.724,1
58,1,47.81,-0.219,3,-0.45,1
59,1,57.45,0.745,1,-2.292,1
60,1,45.53,-0.447,3,-0.651,1
61,1,44.2,-0.58,1,-2.212,1
62,1,45.4,-0.46,2,-1.597,1
63,1,47.92,-0.208,3,-0.653,1
64,1,56.19,0.619,4,0.428,1
65,0,43.0,-0.7,4,0.65,1
66,1,41.79,-0.821,4,0.155,1
67,1,46.63,-0.337,4,0.706,1
68,1,54.25,0.425,2,-1.246,1
69,1,66.06,1.606,5,1.055,1
70,1,42.78,-0.722,4,0.241,1
71,1,58.69,0.869,4,0.084,1
72,1,46.43,-0.357,3,-0.526,1
73,1,36.28,-1.372,3,-0.266,1
74,0,46.65,-0.335,2,-1.06,1
75,1,51.05,0.105,4,0.893,1
76,1,48.79,-0.121,3,-0.218,1
77,1,46.77,-0.323,1,-2.796,1
78,1,52.38,0.238,4,0.551,1
79,1,69.16,1.916,4,0.226,1
80,1,29.16,-2.084,4,0.208,1
81,1,55.42,0.542,4,0.958,1
82,1,55.89,0.589,5,1.332,1
83,1,47.9,-0.21,5,1.15,1
84,1,49.46,-0.054,4,0.639,1
85,1,66.68,1.668,4,0.441,1
86,1,60.8,1.08,3,-0.19,1
87,1,44.04,-0.596,4,0.574,1
88,0,23.189999999999998,-2.681,5,1.475,1
89,0,58.43,0.843,5,1.619,1
90,1,52.29,0.229,4,0.299,1
91,1,51.51,0.151,5,1.674,1
92,1,45.45,-0.455,3,-0.996,1
93,1,49.55,-0.045,5,1.332,1
94,1,53.77,0.377,3,-0.571,1
95,1,50.86,0.086,5,1.373,1
96,1,55.43,0.543,1,-2.685,2
97,1,47.11,-0.289,4,0.698,2
98,0,63.32,1.332,5,1.27,2
99,0,50.51,0.051,4,0.497,2
100,0,36.18,-1.382,4,0.397,2
101,1,51.83,0.183,3,-0.891,2
102,1,42.34,-0.766,2,-1.821,2
103,0,72.3,2.23,2,-1.029,2
104,0,52.12,0.212,4,0.146,2
105,0,58.18,0.818,5,1.341,2
106,0,62.39,1.239,4,0.174,2
107,1,48.96,-0.104,2,-1.547,2
108,1,56.28,0.628,3,-0.32,2
109,1,54.769999999999996,0.477,3,-0.795,2
110,0,56.19,0.619,3,-0.899,2
111,0,63.53,1.353,3,-0.385,2
112,0,50.24,0.024,4,0.252,2
113,1,58.91,0.891,3,-0.202,2
114,0,45.230000000000004,-0.477,3,-0.285,2
115,1,41.57,-0.843,2,-1.412,2
116,1,38.86,-1.114,1,-2.057,2
117,0,49.47,-0.053,4,0.74,2
118,0,47.72,-0.228,5,1.677,2
119,0,42.38,-0.762,3,-0.078,2
120,1,48.12,-0.188,3,-0.455,2
121,0,54.18,0.418,4,0.469,2
122,0,40.92,-0.908,4,0.304,2
123,1,47.03,-0.297,3,-0.691,2
124,0,49.18,-0.082,2,-1.149,2
125,0,57.75,0.775,4,0.87,2
126,0,46.88,-0.312,3,-0.097,2
127,1,72.05,2.205,3,-0.349,2
128,1,58.16,0.816,2,-1.465,2
129,0,35.71,-1.429,4,0.781,2
130,1,62.769999999999996,1.277,3,-0.563,2
131,1,58.47,0.847,1,-2.316,2
132,0,37.39,-1.261,3,-0.207,2
133,0,45.68,-0.432,4,0.929,2
134,0,48.96,-0.104,4,0.598,2
135,0,55.1,0.51,4,0.048,2
136,0,46.01,-0.399,3,-0.014,2
137,0,52.68,0.268,3,-0.223,2
138,0,60.29,1.029,4,0.323,2
139,1,49.11,-0.089,2,-1.363,2
140,1,43.81,-0.619,2,-1.753,2
141,1,34.06,-1.594,3,-0.723,2
142,0,61.44,1.144,4,0.821,2
143,0,32.849999999999994,-1.715,4,0.899,2
144,0,51.09,0.109,5,1.168,2
145,1,62.629999999999995,1.263,3,-0.343,2
146,0,46.67,-0.333,4,0.993,2
147,1,63.57,1.357,4,0.127,2
148,0,42.16,-0.784,4,0.479,2
149,0,37.24,-1.276,4,0.609,2
150,0,56.54,0.654,5,1.121,2
151,0,59.13,0.913,3,-0.364,2
152,0,29.990000000000002,-2.001,3,-0.786,2
153,0,35.769999999999996,-1.423,4,0.495,2
154,0,48.79,-0.121,4,0.571,2
155,1,61.2,1.12,2,-1.401,2
156,0,49.94,-0.006,4,0.564,2
157,0,47.66,-0.234,4,0.633,2
158,0,51.09,0.109,4,0.024,3
159,0,74.15,2.415,6,2.426,3
160,0,36.11,-1.389,3,-0.634,3
161,0,70.06,2.006,4,0.766,3
162,0,50.2,0.02,2,-1.983,3
163,0,41.17,-0.883,5,1.46,3
164,0,45.97,-0.403,3,-0.483,3
165,0,38.629999999999995,-1.137,3,-0.543,3
166,0,41.0,-0.9,3,-0.685,3
167,0,48.85,-0.115,3,-0.346,3
168,1,47.74,-0.226,5,1.047,3
169,0,19.409999999999997,-3.059,4,0.668,3
170,1,67.28999999999999,1.729,6,2.79,3
171,0,32.61,-1.739,3,-0.109,3
172,0,55.620000000000005,0.562,4,0.069,3
173,0,41.93,-0.807,4,0.471,3
174,0,65.14,1.514,4,0.68,3
175,1,57.16,0.716,3,-0.666,3
176,0,48.4,-0.16,4,0.664,3
177,0,59.79,0.979,2,-1.282,3
178,0,36.57,-1.343,5,1.077,3
179,0,33.65,-1.635,5,1.411,3
180,0,66.28999999999999,1.629,4,0.809,3
181,0,51.79,0.179,2,-1.174,3
182,0,52.0,0.2,5,1.876,3
183,0,55.08,0.508,4,0.801,3
184,0,40.22,-0.978,3,-0.152,3
185,0,38.37,-1.163,4,0.522,3
186,0,53.43,0.343,3,-0.574,3
187,0,56.12,0.612,2,-1.602,3
188,0,56.86,0.686,4,0.854,3
189,0,44.379999999999995,-0.562,2,-1.419,3
190,0,56.24,0.624,3,-0.265,3
191,0,28.799999999999997,-2.12,4,0.789,3
192,0,41.980000000000004,-0.802,3,-0.988,3
193,0,42.34,-0.766,4,0.044,3
194,0,54.51,0.451,3,-0.731,3
195,0,53.43,0.343,4,0.312,3
196,0,50.39,0.039,6,2.081,3
197,0,35.019999999999996,-1.498,5,1.409,3
198,0,55.92,0.592,2,-1.402,3
199,0,43.95,-0.605,4,0.129,3
200,0,52.83,0.283,3,-0.646,3
201,0,47.66,-0.234,4,0.303,3
202,0,46.94,-0.306,3,-0.296,3
203,0,50.06,0.006,3,-0.606,3
204,0,53.64,0.364,4,0.759,3
205,0,51.03,0.103,4,0.093,3
206,0,49.78,-0.022,5,1.471,3
207,1,48.22,-0.178,3,-0.906,3
208,0,48.56,-0.144,2,-1.316,3
209,0,46.08,-0.392,4,0.314,3
210,1,59.95,0.995,5,1.845,3
211,0,41.730000000000004,-0.827,4,0.719,3
212,0,58.120000000000005,0.812,3,-0.171,3
213,0,51.04,0.104,6,2.649,3
214,0,40.08,-0.992,5,1.157,3
215,0,61.8,1.18,4,0.2,3
216,0,55.2,0.52,3,-0.876,3
217,0,59.3,0.93,4,0.329,3
218,0,48.8,-0.12,4,0.02,4
219,0,60.22,1.022,3,-0.095,4
220,0,62.06,1.206,2,-1.131,4
221,0,56.95,0.695,4,0.143,4
222,0,67.43,1.743,3,-0.587,4
223,0,14.71,-3.529,3,-0.582,4
224,0,44.19,-0.581,2,-1.502,4
225,0,47.49,-0.251,4,0.187,4
226,0,35.33,-1.467,5,1.323,4
227,0,57.78,0.778,4,0.083,4
228,0,52.56,0.256,3,-0.178,4
229,1,47.69,-0.231,4,0.06,4
230,0,39.94,-1.006,4,0.179,4
231,0,37.3,-1.27,3,-0.323,4
232,0,48.78,-0.122,3,-0.295,4
233,0,54.44,0.444,2,-1.022,4
234,0,63.75,1.375,6,2.575,4
235,0,49.82,-0.018,4,0.012,4
236,0,57.97,0.797,3,-0.465,4
237,0,44.4,-0.56,1,-2.467,4
238,0,47.91,-0.209,3,-0.58,4
239,0,52.02,0.202,4,0.38,4
240,0,41.6,-0.84,5,1.513,4
241,0,48.16,-0.184,3,-0.086,4
242,1,52.76,0.276,3,-0.611,4
243,0,55.16,0.516,4,0.212,4
244,0,57.19,0.719,3,-0.497,4
245,0,45.96,-0.404,3,-0.888,4
246,0,52.51,0.251,4,0.035,4
247,0,60.35,1.035,3,-0.51,4
248,0,61.879999999999995,1.188,2,-1.559,4
249,0,39.15,-1.085,4,0.528,4
250,0,46.89,-0.311,4,0.625,4
251,0,56.37,0.637,3,-0.285,4
252,0,44.36,-0.564,3,-0.611,4
253,0,49.32,-0.068,3,-0.438,4
254,0,51.69,0.169,4,0.045,4
255,0,51.81,0.181,4,0.343,4
256,0,53.16,0.316,4,0.068,4
257,0,52.59,0.259,4,0.555,4
258,0,63.03,1.303,4,0.154,4
259,0,49.26,-0.074,4,0.135,4
260,0,42.78,-0.722,4,0.545,4
261,0,47.88,-0.212,3,-0.673,4
262,0,36.33,-1.367,5,1.695,4
263,0,37.89,-1.211,4,0.533,4
264,0,54.88,0.488,3,-0.238,4
265,0,61.67,1.167,4,0.198,4
266,0,32.64,-1.736,4,0.206,4
267,1,47.75,-0.225,3,-0.194,4
268,0,46.38,-0.362,5,1.63,4
269,0,49.15,-0.085,4,0.379,4
270,0,42.04,-0.796,3,-0.971,4
271,0,48.65,-0.135,3,-0.141,4
272,0,51.13,0.113,2,-1.21,4
273,0,51.55,0.155,5,1.104,4
274,0,47.83,-0.217,3,-0.818,5
275,1,50.39,0.039,4,0.606,5
276,0,42.13,-0.787,2,-1.61,5
277,1,39.5,-1.05,4,0.984,5
278,1,32.09,-1.791,2,-1.626,5
279,0,45.93,-0.407,4,0.174,5
280,1,57.53,0.753,3,-0.617,5
281,0,26.150000000000002,-2.385,5,1.298,5
282,1,54.29,0.429,2,-1.62,5
283,0,56.47,0.647,1,-2.209,5
284,0,62.93,1.293,3,-0.284,5
285,1,23.759999999999998,-2.624,2,-1.975,5
286,0,61.2,1.12,4,0.409,5
287,1,26.89,-2.311,3,-0.283,5
288,1,66.87,1.687,5,1.654,5
289,1,62.19,1.219,4,0.324,5
290,1,55.68,0.568,4,0.712,5
291,1,41.26,-0.874,5,1.902,5
292,0,53.91,0.391,3,-0.234,5
293,0,53.16,0.316,2,-1.082,5
294,1,39.26,-1.074,2,-1.771,5
295,1,43.88,-0.612,2,-1.461,5
296,0,54.74,0.474,4,0.299,5
297,1,56.54,0.654,4,0.483,5
298,1,48.44,-0.156,4,0.067,5
299,1,41.89,-0.811,4,0.577,5
300,0,38.84,-1.116,3,-0.584,5
301,1,32.81,-1.719,3,-0.015,5
302,1,45.94,-0.406,3,-0.37,5
303,1,64.76,1.476,4,0.049,5
304,1,64.8,1.48,4,0.632,5
305,0,51.55,0.155,2,-1.189,5
306,1,59.84,0.984,3,-0.314,5
307,1,43.38,-0.662,5,1.457,5
308,1,49.66,-0.034,5,1.607,5
309,1,40.04,-0.996,3,-0.066,5
310,1,45.39,-0.461,4,0.506,5
311,1,54.66,0.466,4,0.635,5
312,1,57.87,0.787,4,0.615,5
313,1,39.379999999999995,-1.062,4,0.641,5
314,0,63.07,1.307,3,-0.942,5
315,1,62.71,1.271,3,-0.336,5
316,1,39.74,-1.026,2,-1.75,5
317,1,46.66,-0.334,4,0.653,5
318,1,69.56,1.956,4,0.426,5
319,0,62.629999999999995,1.263,2,-1.962,5
320,1,54.25,0.425,2,-1.749,5
321,0,56.879999999999995,0.688,3,-0.306,5
322,1,51.52,0.152,3,-0.682,5
323,1,34.91,-1.509,4,0.09,5
324,1,49.33,-0.067,6,2.225,5
325,1,55.230000000000004,0.523,3,-0.771,5
326,0,46.01,-0.399,1,-2.407,5
327,1,50.1,0.01,4,0.326,5
328,0,42.32,-0.768,2,-1.21,5
329,0,40.08,-0.992,4,0.874,5
330,1,51.03,0.103,3,-0.104,5
331,1,45.0,-0.5,4,0.379,5
332,1,46.29,-0.371,2,-1.921,5
333,0,52.12,0.212,3,-0.622,5
334,0,52.01,0.201,2,-1.197,5
335,1,48.76,-0.124,4,0.559,5
336,1,56.07,0.607,3,-0.07,5
337,0,49.45,-0.055,2,-1.245,5
338,1,44.91,-0.509,5,1.005,5
339,1,43.66,-0.634,4,0.232,5
340,1,62.32,1.232,4,0.835,5
341,1,45.63,-0.437,2,-1.611,5
342,1,52.55,0.255,5,1.158,5
343,1,51.8,0.18,5,1.777,5
344,1,61.54,1.154,3,-0.785,5
345,1,58.29,0.829,4,0.609,5
346,1,41.26,-0.874,5,1.989,5
347,1,49.07,-0.093,3,-0.53,5
348,1,50.61,0.061,4,0.748,5
349,0,53.22,0.322,2,-1.166,5
350,0,41.019999999999996,-0.898,3,-0.749,5
351,1,58.89,0.889,2,-1.371,5
352,0,40.28,-0.972,2,-1.794,5
353,0,50.59,0.059,3,-0.814,5
354,1,53.39,0.339,3,-0.255,5
355,0,43.519999999999996,-0.648,3,-0.858,5
356,1,46.26,-0.374,3,-0.438,5
357,1,61.370000000000005,1.137,5,1.526,5
358,0,46.63,-0.337,3,-0.72,5
359,1,47.21,-0.279,5,1.785,5
360,1,48.32,-0.168,5,1.435,5
361,1,53.79,0.379,4,0.561,5
362,1,46.24,-0.376,4,0.342,5
363,1,62.75,1.275,2,-1.008,5
364,0,20.28,-2.972,4,0.152,6
365,1,39.72,-1.028,3,-0.071,6
366,1,50.26,0.026,2,-1.818,6
367,1,36.33,-1.367,3,-0.331,6
368,1,68.14,1.814,2,-1.119,6
369,1,52.72,0.272,3,-0.147,6
370,1,43.64,-0.636,3,-0.537,6
371,1,51.5,0.15,2,-1.628,6
372,1,57.4,0.74,4,0.63,6
373,1,45.78,-0.422,2,-1.287,6
374,0,37.04,-1.296,4,0.504,6
375,1,52.08,0.208,3,-0.808,6
376,0,57.06,0.706,5,1.836,6
377,1,61.04,1.104,3,-0.082,6
378,1,46.75,-0.325,3,-0.084,6
379,1,62.769999999999996,1.277,3,-0.935,6
380,0,53.74,0.374,5,1.86,6
381,1,42.26,-0.774,3,-0.211,6
382,0,45.78,-0.422,5,1.962,6
383,0,56.33,0.633,5,1.097,6
384,1,70.72,2.072,4,0.402,6
385,1,46.73,-0.327,4,0.218,6
386,1,55.81,0.581,5,1.949,6
387,1,53.66,0.366,2,-1.502,6
388,1,56.03,0.603,3,-0.842,6
389,1,40.55,-0.945,1,-2.055,6
390,0,53.04,0.304,7,3.648,6
391,1,49.17,-0.083,2,-1.21,6
392,1,47.37,-0.263,4,0.715,6
393,1,39.95,-1.005,3,-0.966,6
394,1,50.79,0.079,3,-0.343,6
395,1,56.83,0.683,2,-1.067,6
396,1,38.97,-1.103,4,0.295,6
397,1,41.44,-0.856,3,-0.422,6
398,1,40.69,-0.931,4,0.111,6
399,0,45.91,-0.409,4,0.27,6
400,1,71.65,2.165,3,-0.681,6
401,1,40.32,-0.968,5,1.433,6
402,1,39.17,-1.083,3,-0.86,6
403,0,61.83,1.183,4,0.65,6
404,1,63.74,1.374,5,1.213,6
405,1,58.129999999999995,0.813,4,0.666,6
406,1,54.5,0.45,5,1.566,6
407,1,34.3,-1.57,3,-0.501,6
408,1,59.44,0.944,3,-0.78,6
409,1,47.11,-0.289,4,0.126,6
410,1,37.44,-1.256,3,-0.671,6
411,0,46.69,-0.331,4,0.783,6
412,1,43.5,-0.65,3,-0.406,6
413,1,59.32,0.932,4,0.541,6
414,0,48.89,-0.111,5,1.821,6
415,1,60.25,1.025,4,0.396,6
416,1,55.69,0.569,2,-1.286,6
417,1,60.519999999999996,1.052,4,0.198,6
418,1,49.11,-0.089,3,-0.172,6
419,1,44.21,-0.579,3,-0.758,6
420,1,49.24,-0.076,2,-1.131,6
421,1,57.33,0.733,2,-1.011,6
422,1,52.07,0.207,3,-0.358,6
423,1,67.36,1.736,3,-0.6,6
424,1,34.92,-1.508,3,-0.038,6
425,1,58.86,0.886,3,-0.349,6
426,1,51.02,0.102,3,-0.625,6
427,0,47.99,-0.201,4,0.307,6
428,1,62.91,1.291,3,-0.065,6
429,1,49.16,-0.084,4,0.645,6
430,1,44.08,-0.592,0,-3.909,6
431,0,51.98,0.198,5,1.503,6
432,1,48.12,-0.188,2,-1.074,6
433,1,60.61,1.061,4,0.865,6
434,1,35.0,-1.5,3,-0.168,6
435,0,8.32,-4.168,4,0.574,6
436,1,28.900000000000002,-2.11,0,-3.818,7
437,1,51.92,0.192,5,1.435,7
438,1,55.47,0.547,3,-0.211,7
439,1,59.42,0.942,3,-0.893,7
440,1,60.38,1.038,4,0.212,7
441,1,48.21,-0.179,3,-0.856,7
442,1,66.53,1.653,4,0.766,7
443,0,58.45,0.845,4,0.519,7
444,1,52.96,0.296,4,0.024,7
445,1,56.66,0.666,3,-0.192,7
446,1,42.67,-0.733,3,-0.046,7
447,0,59.230000000000004,0.923,3,-0.018,7
448,1,48.87,-0.113,3,-0.677,7
449,0,32.230000000000004,-1.777,2,-1.05,7
450,0,41.61,-0.839,3,-0.102,7
451,0,64.99000000000001,1.499,6,2.192,7
452,1,38.01,-1.199,3,-0.767,7
453,1,44.08,-0.592,4,0.65,7
454,1,62.79,1.279,3,-0.543,7
455,0,55.71,0.571,5,1.42,7
456,1,61.68,1.168,5,1.364,7
457,1,52.26,0.226,2,-1.877,7
458,1,43.04,-0.696,4,0.602,7
459,1,46.16,-0.384,3,-0.763,7
460,0,52.730000000000004,0.273,5,1.135,7
461,1,49.93,-0.007,4,0.629,7
462,1,69.25999999999999,1.926,4,0.1,7
463,1,65.62,1.562,4,0.052,7
464,0,44.83,-0.517,3,-0.67,7
465,0,46.16,-0.384,5,1.553,7
466,1,54.74,0.474,2,-1.365,7
467,1,42.91,-0.709,4,0.4,7
468,1,52.25,0.225,5,1.218,7
469,0,48.67,-0.133,4,0.12,7
470,0,52.55,0.255,4,0.455,7
471,1,44.99,-0.501,3,-0.761,7
472,1,37.2,-1.28,2,-1.029,7
473,1,45.26,-0.474,3,-0.514,7
474,1,64.36,1.436,3,-0.03,7
475,0,59.41,0.941,5,1.446,7
476,1,49.99,-0.001,3,-0.34,7
477,0,51.14,0.114,4,0.713,7
478,0,43.59,-0.641,5,1.178,7
479,1,64.59,1.459,4,0.194,7
480,0,41.46,-0.854,3,-0.215,7
481,1,50.19,0.019,4,0.074,7
482,0,44.56,-0.544,4,0.712,7
483,1,66.62,1.662,4,0.252,7
484,1,52.3,0.23,4,0.529,7
485,0,59.84,0.984,4,0.474,7
486,1,45.15,-0.485,3,-0.36,7
487,1,53.67,0.367,2,-1.042,7
488,1,51.51,0.151,4,0.513,7
489,1,36.68,-1.332,3,-0.055,7
490,1,49.88,-0.012,3,-0.534,7
491,1,49.6,-0.04,3,-0.621,7
492,1,51.23,0.123,3,-0.626,7
493,1,43.26,-0.674,3,-0.34,7
494,1,35.74,-1.426,4,0.485,7
495,1,45.37,-0.463,2,-1.589,7
496,1,51.11,0.111,2,-1.432,7
497,1,40.81,-0.919,3,-0.352,7
498,0,42.86,-0.714,6,2.055,7
499,1,42.13,-0.787,3,-0.242,7
500,1,38.99,-1.101,3,-0.437,7
501,0,49.32,-0.068,4,0.805,7
502,0,47.43,-0.257,3,-0.586,7
503,1,56.25,0.625,5,1.446,7
504,0,42.18,-0.782,4,0.93,7
505,1,58.64,0.864,3,-0.897,7
506,0,41.05,-0.895,5,1.253,7
507,1,51.84,0.184,3,-0.404,7
508,0,47.4,-0.26,4,0.51,7
509,0,52.9,0.29,4,0.748,7
510,1,51.09,0.109,4,0.636,7
511,0,35.91,-1.409,3,-0.429,7
512,1,45.21,-0.479,2,-1.171,7
513,1,34.92,-1.508,2,-1.031,7
514,1,51.82,0.182,2,-1.351,7
515,1,70.81,2.081,3,-0.715,7
516,0,49.98,-0.002,5,1.747,7
517,1,35.730000000000004,-1.427,4,0.513,7
518,0,46.95,-0.305,3,-0.326,8
519,1,44.63,-0.537,3,-0.292,8
520,0,55.55,0.555,2,-1.317,8
521,0,44.22,-0.578,2,-1.998,8
522,1,64.78,1.478,3,-0.711,8
523,1,49.59,-0.041,3,-0.133,8
524,1,62.989999999999995,1.299,6,2.13,8
525,0,61.6,1.16,3,-0.908,8
526,0,50.26,0.026,3,-0.156,8
527,1,51.21,0.121,5,1.787,8
528,1,63.68,1.368,4,0.79,8
529,1,40.97,-0.903,4,0.739,8
530,1,50.5,0.05,4,0.418,8
531,1,52.54,0.254,4,0.291,8
532,1,63.06,1.306,4,0.495,8
533,1,48.61,-0.139,4,0.045,8
534,1,55.88,0.588,4,0.643,8
535,1,39.54,-1.046,3,-0.57,8
536,1,25.58,-2.442,4,0.334,8
537,0,48.45,-0.155,3,-0.47,8
538,1,39.75,-1.025,3,-0.193,8
539,1,46.68,-0.332,4,0.2,8
540,1,54.35,0.435,5,1.271,8
541,1,40.32,-0.968,4,0.907,8
542,1,50.33,0.033,5,1.188,8
543,0,45.61,-0.439,2,-1.692,8
544,1,52.02,0.202,3,-0.326,8
545,0,51.98,0.198,3,-0.521,8
546,1,39.980000000000004,-1.002,5,1.457,8
547,0,50.23,0.023,2,-1.29,8
548,1,41.03,-0.897,4,0.319,8
549,0,53.42,0.342,2,-1.418,8
550,1,43.67,-0.633,4,0.74,8
551,1,49.32,-0.068,3,-0.74,8
552,1,49.34,-0.066,3,-0.622,8
553,1,34.15,-1.585,5,1.425,8
554,1,34.54,-1.546,4,0.851,8
555,0,64.39,1.439,3,-0.79,8
556,0,51.57,0.157,2,-1.08,8
557,0,53.1,0.31,3,-0.683,8
558,0,60.59,1.059,3,-0.886,8
559,1,43.23,-0.677,4,0.028,8
560,1,46.58,-0.342,4,0.674,8
561,1,30.85,-1.915,3,-0.585,8
562,1,63.0,1.3,3,-0.118,8
563,0,48.19,-0.181,3,-0.526,8
564,1,53.42,0.342,4,0.771,8
565,1,48.98,-0.102,3,-0.745,8
566,1,75.67,2.567,5,1.542,8
567,0,50.68,0.068,2,-1.323,8
568,0,49.94,-0.006,2,-1.805,8
569,1,52.45,0.245,4,0.224,8
570,1,46.84,-0.316,3,-0.994,8
571,1,43.74,-0.626,4,0.092,8
572,1,59.49,0.949,5,1.22,8
573,1,63.16,1.316,3,-0.214,8
574,1,34.39,-1.561,4,0.879,8
575,0,55.11,0.511,3,-0.163,8
576,1,52.39,0.239,3,-0.177,8
577,1,46.15,-0.385,5,1.025,8
578,0,35.67,-1.433,2,-1.643,8
579,0,35.37,-1.463,5,1.009,8
580,1,44.81,-0.519,4,0.793,8
581,1,63.78,1.378,3,-0.771,8
582,0,34.53,-1.547,2,-1.37,8
583,1,31.84,-1.816,3,-0.153,8
584,1,41.56,-0.844,3,-0.47,8
585,0,63.16,1.316,1,-2.1,8
586,1,36.36,-1.364,3,-0.127,8
587,1,51.34,0.134,4,0.889,8
588,1,29.089999999999996,-2.091,5,1.052,8
589,1,49.07,-0.093,3,-0.912,8
590,0,42.81,-0.719,2,-1.176,8
591,1,52.44,0.244,4,0.192,8
592,0,49.71,-0.029,3,-0.803,8
593,0,58.629999999999995,0.863,2,-1.173,8
594,1,51.22,0.122,4,0.265,8
595,1,60.28,1.028,4,0.115,8
596,1,53.07,0.307,5,1.593,8
597,1,60.57,1.057,3,-0.248,8
598,1,44.94,-0.506,4,0.288,8
599,0,64.73,1.473,3,-0.788,8
600,0,50.53,0.053,3,-0.345,8
601,1,51.38,0.138,4,0.045,8
602,1,48.17,-0.183,4,0.582,8
603,1,57.64,0.764,4,0.634,8
604,1,35.82,-1.418,4,0.425,8
605,1,45.34,-0.466,4,0.13,8
606,1,27.740000000000002,-2.226,4,0.121,8
607,1,33.6,-1.64,4,0.248,9
608,1,55.64,0.564,4,0.553,9
609,1,60.629999999999995,1.063,2,-1.511,9
610,1,45.45,-0.455,3,-0.586,9
611,1,34.61,-1.539,3,-0.446,9
612,1,60.01,1.001,4,0.519,9
613,1,68.65,1.865,4,0.801,9
614,1,44.27,-0.573,3,-0.113,9
615,1,39.66,-1.034,3,-0.057,9
616,1,61.59,1.159,2,-1.374,9
617,1,51.89,0.189,1,-2.612,9
618,0,57.46,0.746,3,-0.118,9
619,1,47.39,-0.261,3,-0.351,9
620,1,66.03,1.603,2,-1.285,9
621,1,43.93,-0.607,6,2.301,9
622,1,37.42,-1.258,2,-1.24,9
623,1,54.08,0.408,3,-0.695,9
624,1,46.03,-0.397,3,-0.083,9
625,1,48.37,-0.163,4,0.139,9
626,1,33.83,-1.617,4,0.11,9
627,1,44.93,-0.507,4,0.958,9
628,0,57.53,0.753,3,-0.311,9
629,1,41.0,-0.9,4,0.266,9
630,1,57.34,0.734,3,-0.172,9
631,1,68.83,1.883,3,-0.695,9
632,1,60.04,1.004,4,0.28,9
633,1,58.2,0.82,5,1.071,9
634,1,58.34,0.834,3,-0.62,9
635,0,26.869999999999997,-2.313,3,-0.064,9
636,0,37.58,-1.242,3,-0.371,9
637,0,25.22,-2.478,4,0.875,9
638,1,43.84,-0.616,5,1.499,9
639,0,46.31,-0.369,5,1.135,9
640,1,45.730000000000004,-0.427,2,-1.602,9
641,1,55.16,0.516,3,-0.157,9
642,1,39.42,-1.058,3,-0.005,9
643,1,45.56,-0.444,3,-0.099,9
644,0,48.88,-0.112,5,1.331,9
645,1,62.69,1.269,3,-0.182,9
646,1,53.55,0.355,3,-0.267,9
647,1,51.17,0.117,4,0.505,9
648,1,43.05,-0.695,5,1.359,9
649,1,57.69,0.769,3,-0.192,9
650,1,51.25,0.125,2,-1.202,9
651,1,54.58,0.458,4,0.17,9
652,1,47.42,-0.258,3,-0.893,9
653,1,48.63,-0.137,4,0.779,9
654,1,45.11,-0.489,3,-0.738,9
